filename,text,confidence
01 ammo.png,70.861,0.66936938417422
01 ammo.png,AMIG-0033,0.7736692246606197
01 ammo.png,RUBBER & TIRES,0.9547205218458851
01 ammo.png,H-77,0.9919434785842896
01 ammo.png,C-137,0.7234197474981909
01 ammo.png,70.306,0.7099767127276025
01 ammo.png,71.315,0.8672919326234704
01 ammo.png,A.MIG-0034,0.4802757781512955
01 ammo.png,RUST TRACKS,0.7214550471982935
01 ammo.png,FS 30111-BS435,0.9561346247680527
01 ammo.png,70.343,0.5600261223811168
01 ammo.png,71.080,0.9996599020843192
01 ammo.png,A.MIG-0035,0.9371014569201439
01 ammo.png,DARK TRACKS,0.9277885238396062
01 ammo.png,H-84,0.669021546546107
01 ammo.png,C-42,0.9402522525854131
01 ammo.png,70.302,0.910315368439899
01 ammo.png,71.039,0.9999046116797193
01 ammo.png,A.MIG-0036,0.5290230763101275
01 ammo.png,OLD WOOD,0.9106140978931427
01 ammo.png,71.075,0.9884474872381509
01 ammo.png,AMIG-0037,0.6807074634163388
01 ammo.png,NEW WOOD,0.9988752600257994
01 ammo.png,70.321,0.910855766507355
01 ammo.png,AMIG-0038,0.7458385701877234
01 ammo.png,LIGHT WOOD,0.9485486203115631
01 ammo.png,H-79,0.9676304459571838
01 ammo.png,C-39,0.9950904846191406
01 ammo.png,XF-78,0.9995079691238427
01 ammo.png,71.028,0.99972716449603
01 ammo.png,AMIG-0039,0.99464944183957
01 ammo.png,LIGHT RUST,0.9003694050199544
01 ammo.png,H-24,0.9988669157028198
01 ammo.png,C-58,0.998411238193512
01 ammo.png,70.911,0.9812577829951646
01 ammo.png,71.130,0.696009428234098
01 ammo.png,AMIG-0040,0.9994426983907253
01 ammo.png,MEDIUM RUST,0.9975523328338793
01 ammo.png,H-453,0.6970965524843389
01 ammo.png,70.981,0.9641475954873369
01 ammo.png,71.129,0.8190642442623026
01 ammo.png,AMIG-0041,0.7260136254805418
01 ammo.png,DARK RUST,0.8239280743004955
01 ammo.png,70.818,0.9999926999457116
01 ammo.png,AMIG-0042,0.8343524438329658
01 ammo.png,OLD RUST,0.8489478332618848
