code,name,type,hex,equivalents,confidence
AK11850,RAF Extra Dark Sea Grey BS381C/640,AIR,#464c53,Tamiya:XF54; Humbrol:123; Vallejo:71110; Mr. Color:C333; Gunze Sangyo:H333; Lifecolor:UA109; RAL:BS381C; RAL:640; Hataka:140; Real Colors:295,
AK11851,RAF Dark Sea Grey BS381C/638,AIR,#5e6165,Tamiya:XF77; Humbrol:164; Vallejo:71405; Mr. Color:C331; Gunze Sangyo:H331; RAL:BS381C; RAL:638; Hataka:144; Real Colors:296,
AK11852,RAF PRU Blue BS381C/636,AIR,#4d606a,Tamiya:XF18; Humbrol:230; Vallejo:71109; Mr. Color:C72; Gunze Sangyo:H56; RAL:BS381C; RAL:636; Hataka:207; Real Colors:297,
AK11853,RAF Light Aircraft Grey BS381C/627,AIR,#a8a8a1,Humbrol:166; Mr. Color:C332; Gunze Sangyo:H332; RAL:BS381C; RAL:627; Hataka:217; Real Colors:298,
AK11854,RAF Camouflage (Barley) Grey,AIR,#8d9292,Tamiya:XF80; Humbrol:167; Mr. Color:C334; Gunze Sangyo:H334; Lifecolor:UA079; RAL:BS381C; RAL:626; Hataka:142; Real Colors:299,
AK11855,RAF Dark Camouflage Grey,AIR,#676e73,RAL:BS381C; RAL:629; Hataka:214; Real Colors:300,
AK11856,RAF Camouflage Beige (Hemp),AIR,#928a76,Tamiya:XF57; Humbrol:168; Mr. Color:C336; Gunze Sangyo:H336; RAL:BS381C; RAL:389; Hataka:262; Real Colors:301,
AK11857,Bronze Green,AIR,#262f22,Real Colors:264; AK Old Reference:AK2205,
AK11858,Zinc Chromate Yellow,AIR,#dfc737,Vallejo:71107; Gunze / Mr. Color:C352; Real Colors:263; AK Old Reference:AK2207,
AK11859,US Interior Yellow Green,AIR,#79795e,Real Colors:262; AK Old Reference:AK2206,
AK11860,Dark Olive Drab 41,AIR,#49463a,Tamiya:XF62; Vallejo:71316; Mr. Color:C38; Gunze Sangyo:H78; Lifecolor:UA005; Federal Standard:FS33070; Real Colors:259; AK Old Reference:AK2201,
AK11861,Medium Green 42,AIR,#404838,Hataka:19; Real Colors:260; AK Old Reference:AK2202,
AK11862,Neutral Grey 43,AIR,#61625d,Vallejo:71051; Mr. Color:C13; Gunze Sangyo:H53; Lifecolor:UA046; Hataka:33; Real Colors:261; AK Old Reference:AK2203,
AK11863,ANA 613 Olive Drab,AIR,#514e41,RAL:RA17013; AK Old Reference:AK2204,
AK11864,Deep Sea Blue,AIR,#313d43,Humbrol:181; Vallejo:71300; Gunze / Mr. Color:C365; Lifecolor:UA047; Federal Standard:FS35045; Real Colors:258; AK Old Reference:AK2234,
AK11865,M-485 Blue-Grey,AIR,#68797f,Vallejo:71109; Gunze / Mr. Color:C367; Lifecolor:UA038; Federal Standard:FS35189; Hataka:218; Real Colors:256; AK Old Reference:AK2231,
AK11866,Light Gull,AIR,#a6a59c,Humbrol:129; Vallejo:71121; Mr. Color:C315; Gunze Sangyo:H315; Lifecolor:UA025; Federal Standard:FS16440; Hataka:48; Real Colors:220,
AK11867,ADC Grey FS 16473,AIR,#96a09c,Vallejo:71335; Lifecolor:UA041; Federal Standard:FS16473; Hataka:45; Real Colors:221; AK Old Reference:AK2146,
AK11868,Insignia White FS 17875,AIR,#e3e4d7,Tamiya:X1; Humbrol:22; Vallejo:72279; Mr. Color:C316; Gunze Sangyo:H4316; Lifecolor:UA148; Federal Standard:FS17875; Hataka:49; Real Colors:222; AK Old Reference:AK2052,
AK11869,Sand FS 33531,AIR,#beab96,Tamiya:XF59; Humbrol:121; Vallejo:71327; Mr. Color:C313; Gunze Sangyo:H313; Federal Standard:FS33531; Hataka:90; Real Colors:226; AK Old Reference:AK2151,
AK11870,Radome Tan FS 33613,AIR,#dfbf9a,Humbrol:148; Vallejo:71074; Mr. Color:C318; Gunze Sangyo:H318; Federal Standard:FS33613; Real Colors:227; AK Old Reference:AK2053,
AK11871,USMC Sand FS 33711,AIR,#f6ca8f,Lifecolor:UA090; Federal Standard:FS33711; Hataka:60; Real Colors:228,
AK11872,US Army Helo Drab FS 34031,AIR,#3e3f3b,Federal Standard:FS34031; Hataka:67; Real Colors:229,
AK11873,Dull Dark Green FS 34092,AIR,#424e49,Tamiya:XF26; Humbrol:149; Vallejo:71124; Mr. Color:C302; Gunze Sangyo:H302; Lifecolor:UA008; Federal Standard:FS34092; Hataka:56; Real Colors:230; AK Old Reference:AK2106,
AK11874,USMC Green FS 34095,AIR,#4f5023,RAL:RA16003(M0DERN; RAL:RA1840HR; Federal Standard:FS34095; Hataka:59; Real Colors:209,
AK11875,Field Green FS 34097,AIR,#60612d,Mr. Color:C340; Gunze Sangyo:H340; Federal Standard:FS34097; Real Colors:231,
AK11876,Green FS 34258,AIR,#767554,Vallejo:71094; Lifecolor:UA115; Federal Standard:FS34258; Hataka:93; Real Colors:233; AK Old Reference:AK2153,
AK11877,Aggressor Blue FS 35109,AIR,#396064,Vallejo:71111; Lifecolor:UA404; Federal Standard:FS35109; Hataka:156; Real Colors:234,
AK11878,Blue FS 35190,AIR,#588b93,Vallejo:70901; Federal Standard:FS35190; Real Colors:236,
AK11879,Air Superiority Blue FS 35450,AIR,#82a6b9,Humbrol:47; Vallejo:71332; Lifecolor:UA037; Federal Standard:FS35450; Hataka:155; Real Colors:239; AK Old Reference:AK2145,
AK11880,Duck Egg Blue FS 35622,AIR,#bec9bf,Humbrol:122; Vallejo:71328; Mr. Color:C314; Gunze Sangyo:H314; Lifecolor:UA139; Federal Standard:FS35622; Hataka:92; Real Colors:241; AK Old Reference:AK2154,
AK11881,Medium Gunship Grey FS 36118,AIR,#54575f,Tamiya:XF24; Humbrol:125; Vallejo:71097; Mr. Color:C305; Gunze Sangyo:H305; Lifecolor:UA022; Federal Standard:FS36118; Hataka:31; Real Colors:244; AK Old Reference:AK2144,
AK11882,Have Glass Grey FS 36170,AIR,#656462,Federal Standard:FS36170; Hataka:58; Real Colors:245,
AK11883,F-15 Dark Grey (Mod Eagle),AIR,#646e76,Vallejo:71273; Lifecolor:UA029; Federal Standard:FS36176; Hataka:158; Real Colors:246; AK Old Reference:AK2143,
AK11884,Dark Gull Grey FS 36231,AIR,#75797b,Humbrol:140; Vallejo:71277; Mr. Color:C317; Gunze Sangyo:H317; Lifecolor:UA033; Federal Standard:FS36231; Hataka:44; Real Colors:247,
AK11885,Aggressor Grey FS 36251,AIR,#77787a,Vallejo:71274; Lifecolor:UA034; Federal Standard:FS36251; Hataka:157; Real Colors:248; AK Old Reference:AK2142,
AK11886,Medium Grey FS 36270,AIR,#797e80,Humbrol:126; Vallejo:71275; Mr. Color:C306; Gunze Sangyo:H306; Lifecolor:UA028; Federal Standard:FS36270; Hataka:54; Real Colors:249; AK Old Reference:AK2141,
AK11887,Dark Ghost Grey FS 36320,AIR,#7d8991,Humbrol:128; Vallejo:71120; Mr. Color:C307; Gunze Sangyo:H307; Lifecolor:UA027; Federal Standard:FS36320; Hataka:35; Real Colors:251,
AK11888,Light Ghost Grey FS 36375,AIR,#939ca1,Humbrol:127; Vallejo:71615; Mr. Color:C308; Gunze Sangyo:H308; Lifecolor:UA026; Federal Standard:FS36375; Hataka:37; Real Colors:252,
AK11889,Light,AIR,#bdc0bf,Humbrol:147; Vallejo:71276; Mr. Color:C338; Gunze Sangyo:H338; Lifecolor:UA023; Federal Standard:FS36495; Hataka:50; Real Colors:253,
AK11890,Camouflage Grey FS 36622,AIR,#bab8ab,Humbrol:28; Vallejo:71296; Mr. Color:C311; Gunze Sangyo:H311; Lifecolor:UA021; Federal Standard:FS36622; Hataka:39; Real Colors:254; AK Old Reference:AK2104,
AK11891,IJN J3 Hai-iro (Grey),AIR,#85877e,Mr. Color:C35; Gunze Sangyo:H61; Federal Standard:FS36307; Real Colors:302; AK Old Reference:AK2061,
