code,name,hex,equivalents,confidence
MIG-0200,MIDDLESTONE,#cfbdaa,Federal Standard:FS 33531; MR.COLOR:C313,0.9193693684197886
MIG-0201,LIGHT GRAY GREEN,#a6bb9f,Federal Standard:FS 34424; MODEL COLOR:70.885,0.9008848593269944
MIG-0202,TAN,#715539,Federal Standard:FS 30219; MR.COLOR:C310; TAMIYA:XF59; MODEL COLOR:70.843; MODEL AIR:71.125,0.8800032423890085
MIG-0203,LIGHT COMPASS GHOST GRAY,#9fb2b4,Federal Standard:FS 36375; MR.COLOR:C308; MODEL COLOR:70.990,0.8390081379903065
MIG-0204,MEDIUM GUNSHIP GRAY,#373d46,Federal Standard:FS 36118; MR.COLOR:C305; TAMIYA:XF77; MODEL COLOR:70.868; MODEL AIR:71.047,0.8934437391383656
MIG-0205,(BS 638),#607074,Federal Standard:FS 26231; MR.COLOR:C317; MR.COLOR:C331; MODEL COLOR:70.991; MODEL AIR:71.051,0.8725405118474789
MIG-0206,(BS 641),#3d4528,Federal Standard:FS 34079; RLM:RLM 81; MR.COLOR:C309; MODEL COLOR:70.893; MODEL AIR:71.294,0.798460380724997
MIG-0207,(BS 626),#8a8d8d,Federal Standard:FS 36314; MR.COLOR:C334; TAMIYA:XF19; MODEL COLOR:70.989; MODEL AIR:71.046,0.867600244541856
MIG-0208,DARK COMPASS GHOST GRAY,#6a6d6a,Federal Standard:FS 36320; MR.COLOR:C307; MODEL AIR:71.120,0.8366784338147509
MIG-0209,LIGHT GRAY,#c2c0be,HOBBY COLOR:H51; HOBBY COLOR:H338; MR.COLOR:C11; MR.COLOR:C338; MODEL AIR:71.276,0.8778009060973544
MIG-0210,BLUE GRAY AMT-11,#61707a,Federal Standard:FS 35237; MR.COLOR:C337; MODEL COLOR:70.905; MODEL AIR:71.304,0.8946457075381994
MIG-0211,MEDIUM GRAY,#8f8f91,Federal Standard:FS 36270; MR.COLOR:C306; MODEL AIR:71.275,0.8529820277835607
MIG-0212,SILVER GREY,#979799,Federal Standard:FS 26373; British Standard:BS 627; MR.COLOR:C332; MODEL AIR:71.119,0.9033397148616233
MIG-0213,GREEN,#62786b,Federal Standard:FS 24277; MODEL AIR:71.305,0.8868396725036539
MIG-0217,GREEN SLATE,#343c32,RAL:RAL 7002; RLM:RLM 02; MR.COLOR:C60; TAMIYA:XF22; MODEL COLOR:70.886; MODEL AIR:71.044,0.9281674748099877
MIG-0218,SCHWARTZGRAU,#232528,RLM:RLM 66; MR.COLOR:C116; TAMIYA:XF63; MODEL COLOR:70.866; MODEL AIR:71.055,0.8628795342849195
MIG-0219,INTERIOR GREEN,#698275,Federal Standard:FS 34226,0.9816150393351395
MIG-0220,ZINC CHROMATE GREEN (INTERIOR GREEN),#5b6140,Federal Standard:FS 34151; MODEL COLOR:70.850; MODEL AIR:71.137,0.886428097137454
MIG-0221,ZINC CHROMATE YELLOW,#bab855,Federal Standard:FS 33481; MR.COLOR:C27; TAMIYA:XF4; MODEL AIR:71.107,0.9076233760177331
MIG-0222,SANDGELB,#bd9146,RLM:RLM 79; MR.COLOR:C119; MODEL COLOR:70.876; MODEL AIR:71.278,0.8857738543171263
MIG-0223,INTERIOR TURQUOISE GREEN,#2b7059,HOBBY COLOR:H46; MODEL COLOR:70.838,0.7962923251570936
