code,name,hex,equivalents
HTK-_031,Gunship Grey,#666b75,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36118""}, {""brand"": ""ANA"", ""code"": ""ANA 603""}, {""brand"": ""Humbrol"", ""code"": ""125""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H305""}, {""brand"": ""Testors"", ""code"": ""1723""}, {""brand"": ""Vallejo"", ""code"": ""71.097""}, {""brand"": ""Xtracolor"", ""code"": ""X130""}]"
HTK-_032,Ocean Grey,#72777e,"[{""brand"": ""Humbrol"", ""code"": ""106""}, {""brand"": ""Tamiya"", ""code"": ""XF82""}, {""brand"": ""Testors"", ""code"": ""2057""}, {""brand"": ""Vallejo"", ""code"": ""71.273""}, {""brand"": ""Xtracolor"", ""code"": ""X006""}]"
HTK-_033,Neutral Grey 43,#979da3,"[{""brand"": ""Humbrol"", ""code"": ""176""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H53""}, {""brand"": ""Vallejo"", ""code"": ""71.051""}]"
HTK-_034,Medium Sea Grey,#8a9096,"[{""brand"": ""Humbrol"", ""code"": ""165""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H335""}, {""brand"": ""Tamiya"", ""code"": ""XF83""}, {""brand"": ""Testors"", ""code"": ""2058""}, {""brand"": ""Vallejo"", ""code"": ""71.307""}, {""brand"": ""Xtracolor"", ""code"": ""X003""}]"
HTK-_035,Dark Ghost Grey,#9ba4ac,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36320""}, {""brand"": ""Humbrol"", ""code"": ""128""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H307""}, {""brand"": ""Tamiya"", ""code"": ""XF53""}, {""brand"": ""Testors"", ""code"": ""1741""}, {""brand"": ""Vallejo"", ""code"": ""71.120""}, {""brand"": ""Xtracolor"", ""code"": ""X135""}]"
HTK-_036,Light Blue-Grey,#95a5a6,[]
HTK-_037,Light Ghost Grey,#bdc2c8,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36375""}, {""brand"": ""Humbrol"", ""code"": ""127""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H308""}, {""brand"": ""Tamiya"", ""code"": ""XF19""}, {""brand"": ""Testors"", ""code"": ""1728""}, {""brand"": ""Xtracolor"", ""code"": ""X136""}]"
HTK-_038,Light Blue,#a4b0af,"[{""brand"": ""RLM"", ""code"": ""RLM-76""}, {""brand"": ""Humbrol"", ""code"": ""247""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H417""}, {""brand"": ""Testors"", ""code"": ""2086""}, {""brand"": ""Vallejo"", ""code"": ""71.257""}, {""brand"": ""Xtracolor"", ""code"": ""X208""}]"
HTK-_039,Camouflage Grey,#d4d2c4,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36622""}, {""brand"": ""Humbrol"", ""code"": ""28""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H311""}, {""brand"": ""Testors"", ""code"": ""1733""}, {""brand"": ""Vallejo"", ""code"": ""71.296""}, {""brand"": ""Xtracolor"", ""code"": ""X140""}]"
HTK-_040,Black-Grey,#3d3c42,"[{""brand"": ""RLM"", ""code"": ""RLM-66""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H416""}, {""brand"": ""Testors"", ""code"": ""2079""}, {""brand"": ""Vallejo"", ""code"": ""71.055""}, {""brand"": ""Xtracolor"", ""code"": ""X203""}]"
