image,raw_reference,reference,name,equivalents,hex,confidence
02.png,Semi Gloss IJA Green H6o XF-13 195 363 1571,H60,Semi Gloss IJA Green,Tamiya:XF13; Humbrol:195; Revell:363; Testors:1571,#17272a,0.7942594253378296
02.png,lGloss IJN Gray H61 146 70,H61,lGloss IJN Gray,Humbrol:146; Revell:70,#778588,0.7299044112970314
02.png,Semi Gloss IJA Gray H62 XF-14 147,H62,Semi Gloss IJA Gray,Tamiya:XF14; Humbrol:147,#7f8f84,0.9216793361547106
02.png,Metallic Blue-Green H63,H63,Metallic Blue-Green,,#314c5a,0.8362089592324333
02.png,Semi Gloss Dark Green RLM-71 H64 116,H64,Semi Gloss Dark Green RLM-71,Humbrol:116; RLM:RLM-071,#2b2623,0.909279704005426
02.png,Semi Gloss Black Green RLM-70 H65,H65,Semi Gloss Black Green RLM-70,RLM:RLM-070,#1e1f28,0.6640488980201733
02.png,Semi Gloss Sandy Brown RLM-79 H66 XF-57 63 88,H66,Semi Gloss Sandy Brown RLM-79,Tamiya:XF57; Humbrol:63; Revell:88; RLM:RLM-079,#51392a,0.9537809645916628
02.png,Semi Gloss Light Blue RLM-65 H67 65,H67,Semi Gloss Light Blue RLM-65,Humbrol:65; RLM:RLM-065,#4d7180,0.8169515941296749
02.png,Semi Gloss Dark Grey RLM-74 H68 27,H68,Semi Gloss Dark Grey RLM-74,Humbrol:27; RLM:RLM-074,#171a28,0.7341754056161524
02.png,Semi Gloss Grey RLM-75 H6g,H69,Semi Gloss Grey RLM-75,RLM:RLM-075,#333f47,0.6971008921515797
02.png,Semi Gloss Grey RLM-02 H7O,H70,Semi Gloss Grey RLM-02,RLM:RLM-002,#69644d,0.6438521897522935
02.png,Semi Gloss Middle Stone H71 94,H71,Semi Gloss Middle Stone,Humbrol:94,#4c3d2f,0.9857346437943095
02.png,Semi Gloss Dark Earth H72 29 86 380,H72,Semi Gloss Dark Earth,Humbrol:29; Revell:86380,#312927,0.9039304734908405
02.png,Semi Gloss Dark Green H73 XF-61 30,H73,Semi Gloss Dark Green,Tamiya:XF61; Humbrol:30,#193030,0.7806955702028328
02.png,Semi Gloss Duck Egg Green H74 23,H74,Semi Gloss Duck Egg Green,Humbrol:23,#a9ba71,0.9344235745206103
02.png,Semi Gloss Dark Sea Gray H75 XF-54 27,H75,Semi Gloss Dark Sea Gray,Tamiya:XF54; Humbrol:27,#b8b9b0,0.9412418678705701
02.png,Metallic Burnt Iron H76 53 1795,H76,Metallic Burnt Iron,Humbrol:53; Testors:1795,#242a33,0.9905355002570317
02.png,Flat Tire Black H77 X-18 85 1583,H77,Flat Tire Black,Tamiya:X18; Humbrol:85; Testors:1583,#110d0a,0.8968863823169743
02.png,Semi Gloss Olive Drab(2) H78 XF-58 66,H78,Semi Gloss Olive Drab(2),Tamiya:XF58; Humbrol:66,#2a2e2c,0.9178350287955853
02.png,ISemi Gloss Sandy Yellow H79 XF-59 93 16,H79,Semi Gloss Sandy Yellow,Tamiya:XF59; Humbrol:93; Revell:16,#b28f59,0.9070723891076032
02.png,Flat Khaki Green H8O XF-51,H80,Flat Khaki Green,Tamiya:XF51,#162026,0.9429789838647831
02.png,Flat Khaki H81 XF-49 26,H81,Flat Khaki,Tamiya:XF49; Humbrol:26,#443529,0.9755602889650504
02.png,Semi Gloss Dark Grey(t) H82 XF-2O 126 47,H82,Semi Gloss Dark Grey(t),Tamiya:XF20; Humbrol:126; Revell:47,#364343,0.8380409475262427
02.png,Semi Gloss Dark Grey(2) H83 XF-24 112 57 / 378,H83,Semi Gloss Dark Grey(2),Tamiya:XF24; Humbrol:112; Revell:57/378,#212432,0.9019304721785697
02.png,Semi Gloss Mahogany H84,H84,Semi Gloss Mahogany,,#251f27,0.9900655326355797
02.png,Flat Sail Color H85 2709,H85,Flat Sail Color,Testors:2709,#b29c67,0.9019385135700514
02.png,Gloss Red Madder H86 34 2719,H86,Gloss Red Madder,Revell:34; Testors:2719,#c73e26,0.8144298729813135
02.png,Metallic Red H87 51 96,H87,Metallic Red,Humbrol:51; Revell:96,#94332d,0.9851859946233068
02.png,Metallic Blue H88 X-13 52 98,H88,Metallic Blue,Tamiya:X13; Humbrol:52; Revell:98,#172f77,0.97594298389838
02.png,Metallic Green H8g 50 97,H89,Metallic Green,Humbrol:50; Revell:97,#20513d,0.8955595148819857
02.png,Gloss Clear Red H9O X-27 1321 531,H90,Gloss Clear Red,Tamiya:X27; Humbrol:1321; Revell:531,#d6442b,0.7683678053627585
02.png,Gloss Clear Yellow H91 X-24 512,H91,Gloss Clear Yellow,Tamiya:X24; Revell:512,#f9dd5f,0.9628576456104986
02.png,Gloss Clear Orange H92 X-26 1322 530,H92,Gloss Clear Orange,Tamiya:X26; Humbrol:1322; Revell:530,#d75c2f,0.7964541956718649
02.png,Gloss Clear Blue H93 X23 552,H93,Gloss Clear Blue,Tamiya:X23; Revell:552,#1a70ca,0.8867321447474941
02.png,Gloss Clear Green H94 X26 1325 561,H94,Gloss Clear Green,Tamiya:X26; Humbrol:1325; Revell:561,#2b6648,0.939574629541495
02.png,Gloss Smoke Gray H95 X-19,H95,Gloss Smoke Gray,Tamiya:X19,#e0e7da,0.8116963051882208
02.png,Gloss Blue Smoke H96,H96,Gloss Blue Smoke,,#b7eaf0,0.9211949504137269
02.png,Gloss Fluo Yellow H97 194 312,H97,Gloss Fluo Yellow,Humbrol:194; Revell:312,#f5f270,0.8271704082954806
02.png,Gloss Fluo Orange H98 209,H98,Gloss Fluo Orange,Humbrol:209,#db4a2a,0.9603417751158203
02.png,Gloss Fluo Pink H9g 207,H99,Gloss Fluo Pink,Humbrol:207,#d8454f,0.5964807966081138
02.png,Gloss Fluo Green H1OO 203,H10,Gloss Fluo Green,Humbrol:203,#377048,0.8930746411846286
02.png,Semi Gloss Gray FS-36081 H301 32,H301,Semi Gloss Gray FS-36081,Humbrol:32; Federal Standard:FS 36081,#1f2632,0.767440490822846
03.png,ISemi Gloss Green FS-34092 H302 149 1764,H302,Semi Gloss Green FS-34092,Humbrol:149; Testors:1764; Federal Standard:FS 34092,#1b2831,0.8301248737013345
03.png,Semi Gloss Green FS-34102 H303 151 1713,H303,Semi Gloss Green FS-34102,Humbrol:151; Testors:1713; Federal Standard:FS 34102,#2f3735,0.9846797794527731
03.png,Semi Gloss Olive Drab FS-34087 H304 155 1711,H304,Semi Gloss Olive Drab FS-34087,Humbrol:155; Testors:1711; Federal Standard:FS 34087,#242324,0.8245046657363825
03.png,Semi Gloss Grey FS-36118 H305 125,H305,Semi Gloss Grey FS-36118,Humbrol:125; Federal Standard:FS 36118,#3a484f,0.9270873566917476
03.png,Semi Gloss Grey FS-36270 H306 126,H306,Semi Gloss Grey FS-36270,Humbrol:126; Federal Standard:FS 36270,#686f73,0.6183256255368569
03.png,Semi Gloss Grey FS-36320 H307 128 1741,H307,Semi Gloss Grey FS-36320,Humbrol:128; Testors:1741; Federal Standard:FS 36320,#49657d,0.9208099861904259
03.png,Semi Gloss Grey FS-36375 H308 127 1728,H308,Semi Gloss Grey FS-36375,Humbrol:127; Testors:1728; Federal Standard:FS 36375,#598199,0.9014365476324535
03.png,Semi Gloss Green FS-34079 H309 116 1710,H309,Semi Gloss Green FS-34079,Humbrol:116; Testors:1710; Federal Standard:FS 34079,#202b32,0.9106773384428539
03.png,Semi Gloss Brown FS-30219 H310 XF-52 119 85 1742,H310,Semi Gloss Brown FS-30219,Tamiya:XF52; Humbrol:119; Revell:85; Testors:1742; Federal Standard:FS 30219,#3a3734,0.9030333632431075
03.png,Semi Gloss Grey FS-36622 H311 28,H311,Semi Gloss Grey FS-36622,Humbrol:28; Federal Standard:FS 36622,#ebf7e7,0.866671226054246
03.png,Semi Gloss Green FS-34227 H312 XF-26 120 1716,H312,Semi Gloss Green FS-34227,Tamiya:XF26; Humbrol:120; Testors:1716; Federal Standard:FS 34227,#3d6150,0.8637889547596483
03.png,Semi Gloss Yellow FS-33531 H313 XF-60 121 1706,H313,Semi Gloss Yellow FS-33531,Tamiya:XF60; Humbrol:121; Testors:1706; Federal Standard:FS 33531,#d7c36d,0.961802334502493
03.png,Semi Gloss Blue FS-35622 H314 XF-21 122,H314,Semi Gloss Blue FS-35622,Tamiya:XF21; Humbrol:122; Federal Standard:FS 35622,#daeeee,0.7417444360102969
03.png,Gloss Gray FS-16440 H315 XF-54 183 1729,H315,Gloss Gray FS-16440,Tamiya:XF54; Humbrol:183; Testors:1729; Federal Standard:FS 16440,#a3b3a7,0.9527067543946754
03.png,Gloss White FS-17875 H316 22,H316,Gloss White FS-17875,Humbrol:22; Federal Standard:FS 17875,#fefffa,0.9859647361828864
03.png,Flat Grey FS- 36231 H317 140 1740,H317,Flat Grey FS- 36231,Humbrol:140; Testors:1740,#45494d,0.9417956014743559
03.png,Semi Gloss Radome H318 148 1709,H318,Semi Gloss Radome,Humbrol:148; Testors:1709,#feea8d,0.9351796533953964
03.png,Semi Gloss Light Green H319,H319,Semi Gloss Light Green,,#1f3136,0.8874919396190499
03.png,Semi Gloss Dark Green H320 XF-27 30 360,H320,Semi Gloss Dark Green,Tamiya:XF27; Humbrol:30; Revell:360,#1a282d,0.924513037451394
03.png,Semi Gloss Light Brown H321,H321,Semi Gloss Light Brown,,#727964,0.993535579469498
03.png,Gloss Phthal 0 Yanne Blue H322 53 1594,H322,Gloss Phthal 0 Yanne Blue,Revell:53; Testors:1594,#182044,0.9176674087391645
03.png,lGloss Light Blue H323 XF-23,H323,lGloss Light Blue,Tamiya:XF23,#3a85d0,0.837752303704796
03.png,Flat Light Grey H324,H324,Flat Light Grey,,#8a9c9e,0.9453722845455044
03.png,Semi Gloss Grey FS-26440 H325 129 1730,H325,Semi Gloss Grey FS-26440,Humbrol:129; Testors:1730; Federal Standard:FS 26440,#9fab9e,0.7799911370574526
03.png,(Gloss Blue FS-15044 H326 189 1719,H326,Gloss Blue FS-15044,Humbrol:189; Testors:1719; Federal Standard:FS 15044,#1b1e26,0.8230312015541648
03.png,Gloss Red FS-11136 H327 153 1705,H327,Gloss Red FS-11136,Humbrol:153; Testors:1705; Federal Standard:FS 11136,#8e4337,0.7951029528323322
03.png,Gloss Blue FS-15050 H328 190 350 1772,H328,Gloss Blue FS-15050,Humbrol:190; Revell:350; Testors:1772; Federal Standard:FS 15050,#1d2133,0.9077150842515462
03.png,Gloss Yellow FS-13538 H329 XF 3 154 /188 310 1708,H329,Gloss Yellow FS-13538,Tamiya:XF3; Humbrol:154/188; Revell:310; Testors:1708; Federal Standard:FS 13538,#ebad56,0.8138623714580625
03.png,Semi Gloss Dark Green BS381/C641 H330 163,H330,Semi Gloss Dark Green BS381/C641,Humbrol:163,#202a35,0.8959326920547798
03.png,Semi Gloss Dark Sea Grey BS381/C638 H331 164,H331,Semi Gloss Dark Sea Grey BS381/C638,Humbrol:164,#1f2c3a,0.882720575082152
03.png,Semi Gloss Light Aircraft Grey BS381/C627 H332 XF-25 166,H332,Semi Gloss Light Aircraft Grey BS381/C627,Tamiya:XF25; Humbrol:166,#5f7783,0.8118676361845464
03.png,Semi Gloss Extra Dark Sea Gray BS381/C640 H333 123 351,H333,Semi Gloss Extra Dark Sea Gray BS381/C640,Humbrol:123; Revell:351,#1e2836,0.9097878345893817
03.png,Semi Gloss Barley Gray BS4800/18B21 H334 167,H334,Semi Gloss Barley Gray BS4800/18B21,Humbrol:167,#678198,0.8536179339053753
03.png,Semi Gloss Medium Sea Gray BS381/C637 H335 123,H335,Semi Gloss Medium Sea Gray BS381/C637,Humbrol:123,#3a4449,0.7994186311090801
03.png,Semi Gloss Hemp BS4800/10B21 H336 168,H336,Semi Gloss Hemp BS4800/10B21,Humbrol:168,#5a7059,0.9655285904354579
03.png,Semi Gloss Grayish Blue FS-35237 H337 145 79 1721,H337,Semi Gloss Grayish Blue FS-35237,Humbrol:145; Revell:79; Testors:1721; Federal Standard:FS 35237,#375355,0.8574017431311424
03.png,Semi Gloss Light Grey FS-36495 H338 147,H338,Semi Gloss Light Grey FS-36495,Humbrol:147; Federal Standard:FS 36495,#b7c8c6,0.949716625432322
03.png,Gloss Engine Gray FS-16081 H339 123 1592,H339,Gloss Engine Gray FS-16081,Humbrol:123; Testors:1592; Federal Standard:FS 16081,#273140,0.8395176966381962
03.png,Semi Gloss Field Green FS-34097 H340 362 1712,H340,Semi Gloss Field Green FS-34097,Revell:362; Testors:1712; Federal Standard:FS 34097,#1a2535,0.8896450824534378
03.png,FFlat Mud H341,H341,FFlat Mud,,#b8b8b8,0.9171458584187677
03.png,Gloss Oil Black H342,H342,Gloss Oil Black,,#b9b9b9,0.9986927289207587
03.png,Flat Soot H343 33 1785,H343,Flat Soot,Humbrol:33; Testors:1785,#b8b8b8,0.818254814037278
03.png,Flat Rust H344 113 83,H344,Flat Rust,Humbrol:113; Revell:83,#b8b8b8,0.9752376960903005
03.png,Flat Rough Gray H345,H345,Flat Rough Gray,,#bbbbbb,0.9340247927760271
03.png,FFlat Rough Sand H346 93,H346,FFlat Rough Sand,Humbrol:93,#bdbdbd,0.7422060897187783
