code,name,hex,equivalents
200,,#EDAEB3,Tamiya:X17; Federal Standard:FS 11062; RAL:RAL 4502; RAL:RAL 1447; RAL:RAL 9281
201,,#1A1514,Gunze Sangyo:H28; Mr. Hobby:C78; RAL:RAL 9065
208,,#5CA831,
220,,#C1181B,RAL:RAL 3001
222,,#1A408B,
224,,#77776D,
230,,#113F4C,Tamiya:XF18; Gunze Sangyo:H56; Mr. Hobby:C72; RAL:RAL 1415; RAL:RAL 9230
237,,#B7A889,
239,,#003E3E,
240,,#86846D,Tamiya:XF22; Mr. Hobby:C60
241,,#605F50,Tamiya:XF27; Gunze Sangyo:H65; Mr. Hobby:C18
39,,#405028,Gunze Sangyo:H64; Mr. Hobby:C17
243,,#464A4C,Tamiya:XF26
244,,#4F5750,Tamiya:XF27
246,,#DB0246,Mr. Hobby:C37
247,,#C5CAC5,Mr. Hobby:C117
248,,#96AAAC,Tamiya:XF23
249,,#A89546,Gunze Sangyo:H66; Mr. Hobby:C119
251,,#534548,Mr. Hobby:C121
252,,#53674A,Tamiya:XF27; Mr. Hobby:C122
83,,#545243,
