code,name,hex
70.894,Cam: Olive Green Cam: Verde Oliva 108 Cam: Verde Negro,#5c5b5b
70.895,Verde Acorazado,#89948e
70.896,Extra Dark Green Verde Extra Osc.,#272c27
70.897,Bronze Green Verde Bronce,#353f38
70.898,Dark Sea Blue Azul Marina Osc.,#919da3
70.899,Dark Prussian Blue Azul de Prusia Osc   Azul Pastel,#d5d5d5
70.901,Pastel Blue,#221d2a
70.902,Azure Azul Azur,#cccccc
70.905,178,#5c5d5c
70.906,Unknown,#595958
70.907,Unknown,#595958
70.908,Carmine Red Rojo Carmin,#a23733
70.909,Vermilion Bermellon,#d5d6d5
70.911,Light Orange Naranja Claro 29,#e7974b
70.913,Unknown,#cbcbca
70.914,132,#d6d6d6
70.915,Deep Yellow Amarillo Intenso,#d4c248
70.916,Unknown,#d5d4d4
70.917,Unknown,#d8d7d3
70.918,Hueso,#936651
70.919,Cold White Blanco Frio,#5f4543
70.920,German Uniform Uniforme Aleman,#dcdcdb
70.921,English Uniform 128,#626261
70.922,Uniform Green Verde Uniforme,#424f35
70.923,126,#595959
70.924,Russian Unif WWII Unifor Ruso WWII,#696856
70.925,Blue Azul Intenso Infantry Blue,#d4d5d4
70.926,Red Rojo,#76312d
70.927,Carne Oscura Dark Flesh,#c48557
70.928,Light Flesh Carne Clara,#81604b
70.929,Light Brown Marron Claro,#d8d8d7
70.930,Dark Blue Azul Oscuro,#27324d
70.939,Unknown,#cccbcb
70.940,153,#c9c8c8
70.941,Burnt Umber,#362f22
70.943,Unknown,#cccccb
70.944,Old Rose,#d5d5d4
70.945,Magenta Magenta,#b5a5aa
70.946,Rojo Oscuro Dark Red,#b19795
70.947,Bermellon Oscuro   Rojo Mate Dark Vermilion,#a04237
70.948,Golden Yellow Amarillo Dorado,#e6a84e
70.949,Light Yellow Amarillo Claro,#dbbc6f
70.950,191,#d0d0d0
70.951,White Blanco,#5f4543
70.952,Lemon Yellow Amarillo Limon,#ebc45b
70.953,Flat Yellow Amarillo Mate,#e0b645
70.954,Yellow Green Amarillo Verde,#1b221c
70.955,Flat Flesh Carne Mate,#42322e
70.956,Clear Orange Naranja,#ae4d39
70.957,Flat Red,#98433f
70.958,Pink Rosa,#c9c9c9
70.959,Purple Purpura,#d4d4d3
70.960,Violet Violeta,#d4d5d4
70.961,Azul Cielo Blue 64 Deep,#d5d5d4
70.962,Flat Blue Azul Mate,#526776
70.963,Azul Medio Medium Blue,#06638e
70.964,Unknown,#d7d7d6
70.965,Prussian Blue Azul de Prusia,#d3d4d3
70.966,Turquoise,#1d3746
70.967,Olive Green Verde Oliva,#6b7f42
70.968,Verde Oliva Osc. Flat Green,#384530
70.969,Verde Park Green Flat 78 Deep Green,#3d523d
70.970,Verde Oscuro,#2a5344
70.971,167 |,#d4cfc8
70.972,Unknown,#595958
70.974,Green Sky Verde Azul,#0e5040
70.975,Verde Militar,#272e22
70.976,Buff,#dbdbdb
70.977,Unknown,#d5d4d4
70.978,Dark Yellow Amarillo Camuflaje,#817e53
70.979,Cam. Dark Green Cam. Verde Osc,#d0d1d0
70.980,Black Green Verde Negro,#c9c9c8
70.981,Unknown,#60605f
70.982,Unknown,#616160
70.983,Unknown,#cdcdcd
70.984,Unknown,#9d908e
70.985,Unknown,#d5d3d3
70.986,Deck Tan Marron Cubierta,#606060
70.987,Gris Medio Medium Grey,#706958
70.988,Khaki Marron Caqui 114 Grey Brown,#655e4f
70.989,176,#cdcccc
70.990,Unknown,#5f5f5d
70.991,Unknown,#cccccb
70.992,Unknown,#595958
70.993,Unknown,#d6d5d4
70.994,175,#d6d5d5
70.995,Unknown,#565655
70.996,199,#626262
