code,name,hex,equivalents,confidence
ATOM-20079,OLIVGRUN,#4f5836,Ammo by Mig:MIG-0002; Gunze Sangyo:H48; Mr. Color:C52; Tamiya:XF65; Vallejo Model Color:70890; Vallejo Model Air:71092,
ATOM-20080,FIELD GREY,#5d705e,Ammo by Mig:AMMOF512,
ATOM-20081,RESEDAGRUN (RAL 6011),#5c793d,Ammo by Mig:MIG-0023; Gunze Sangyo:H312; Mr. Color:C312; Vallejo Model Color:70891; Vallejo Model Air:71126,
ATOM-20082,PACIFIC GREEN,#98b267,Ammo by Mig:AMMOF544,
ATOM-20083,GREEN BASE,#4c683a,Ammo by Mig:MIG-0060; Vallejo Model Color:70827,
ATOM-20084,BRIGHT GREEN,#57843c,Ammo by Mig:MIG-0080; Vallejo Model Air:71301,
ATOM-20085,FADED GREEN,#b0c586,,
ATOM-20086,DUCK EGG GREEN,#b4bf93,Ammo by Mig:MIG-0244; Gunze Sangyo:474; Mr. Color:C26; Vallejo Model Air:71009,
ATOM-20087,BILE GREEN,#d8ce6e,,
ATOM-20089,LIME GREEN,#cfdc41,Ammo by Mig:AMMOF555,
ATOM-20090,TROLL GREEN,#008641,,
ATOM-20091,FERN GREEN,#005627,Ammo by Mig:MIG-0054; Gunze Sangyo:H26; Mr. Color:C66,
ATOM-20092,DARK GREEN,#00402d,Ammo by Mig:MIG-0052; Vallejo Model Color:70970; Vallejo Model Air:71007,
ATOM-20093,FOREST GREEN,#005133,,
ATOM-20094,PHTALO GREEN,#315141,Ammo by Mig:AMMOF542,
ATOM-20095,IJN MITSUBISHI GREEN,#517337,Ammo by Mig:MIG-0265; Mr. Color:C124; Tamiya:XF70; Vallejo Model Air:71310,
ATOM-20096,IJN NAKAJIMA DARK GREEN,#185941,Ammo by Mig:MIG-0069,
ATOM-20097,ATLANTIC GREEN,#626f62,,
ATOM-20098,DEEP GREEN,#142d27,Ammo by Mig:AMMOF506,
ATOM-20099,RUSSIAM GREEN UNIFORM,#244b40,Ammo by Mig:AMMOF506,
ATOM-20100,GREEN GREY,#45645f,Ammo by Mig:MIG-0018,
ATOM-20101,SCHWARTZGRUN RLM 70,#5d5c3f,Ammo by Mig:MIG-0232; Gunze Sangyo:H65; Mr. Color:C18; Tamiya:XF27; Vallejo Model Color:70897; Vallejo Model Air:71021; RLM:RLM-70,
ATOM-20102,OCEAN BLUE,#1e2439,Ammo by Mig:MIG-0227; Gunze Sangyo:H54; Mr. Color:C14; Tamiya:XF50; Vallejo Model Color:70898; Vallejo Model Air:71005,
ATOM-20103,MARINE BLUE,#003454,Ammo by Mig:AMMOF518,
ATOM-20104,BLUISH GREY,#424b63,Ammo by Mig:AMMOF520; Vallejo Model Color:70964,
ATOM-20105,FRENCH BLUE,#126473,Ammo by Mig:MIG-0062; Gunze Sangyo:H42; Mr. Color:C72; Tamiya:XF18; Vallejo Model Color:70900; Vallejo Model Air:71113,
ATOM-20106,NAVY BLUE,#54779b,Ammo by Mig:AMMOF525,
ATOM-20107,UNIFORM BLUE,#296b98,Ammo by Mig:AMMOF523,
ATOM-20108,PRUSSIAN BLUE,#2d416b,Ammo by Mig:MIG-0103; Gunze Sangyo:H15; Mr. Color:C65; Vallejo Model Color:70839,
ATOM-20109,DEEP CYAN,#009ddc,Ammo by Mig:AMMOF526,
ATOM-20110,BLUE,#0084da,Ammo by Mig:MIG-0086; Gunze Sangyo:H323; Mr. Color:C323; Vallejo Model Color:70844; Vallejo Model Air:71089,
ATOM-20111,CYAN,#77c3df,Ammo by Mig:AMMOF524,
ATOM-20112,BRIGHT BLUE,#00b8ec,Ammo by Mig:MIG-0224; Gunze Sangyo:H45; Vallejo Model Color:70961; Vallejo Model Air:71317,
ATOM-20113,GREEN BLUE,#0095a7,Ammo by Mig:AMMOF543,
ATOM-20114,TURQUOISE GREEN,#009583,Ammo by Mig:MIG-0223,
ATOM-20115,JADE GREEN,#00b0a8,,
ATOM-20116,AQUAMARINE,#00c7c4,,
ATOM-20117,DUCK BLUE,#007593,,
ATOM-20118,SAPPHIRE BLUE,#b5cae4,Ammo by Mig:AMMOF519,
ATOM-20119,AZURE BLUE,#658cb1,Ammo by Mig:MIG-0257; Mr. Color:C370; Vallejo Model Color:70902; Vallejo Model Air:71108,
ATOM-20120,BABY BLUE,#0093a6,Ammo by Mig:MIG-0251; Vallejo Model Air:71318,
ATOM-20121,AIR SUPERIORITY BLUE,#9dc8d7,Ammo by Mig:MIG-0271; Vallejo Model Air:71332,
ATOM-20122,LIGHT BLUE,#c3dee8,Ammo by Mig:MIG-0249; Vallejo Model Air:71306,
ATOM-20123,COLD GRAY,#dbdbdb,Ammo by Mig:MIG-0119,
ATOM-20124,LIGHT GRAY,#cbcbcb,Ammo by Mig:MIG-0209; Gunze Sangyo:H51; Gunze Sangyo:H338; Mr. Color:C11; Mr. Color:C338; Vallejo Model Air:71276,
