image,raw_reference,reference,name,definition,equivalents,hex,confidence
02 ammo.png,AMIG-0061,MIG-0061,WARM SAND-YELLOW,,MODEL AIR:71.074,#b09d3c,0.8463997462383033
02 ammo.png,A.MIG-0062,MIG-0062,FRENCH BLUE,,HOBBY COLOR:H42; MR.COLOR:C72; TAMIYA:XF18; MODEL COLOR:70.900; MODEL AIR:71.113,#b29e3b,0.9184653049139424
02 ammo.png,AMIG-0063,MIG-0063,PALE GREY,,HOBBY COLOR:FS36480RLM 76; MR.COLOR:C117; TAMIYA:XF23; MODEL COLOR:70.907; MODEL AIR:71.257,#e7e6e6,0.8658123838614128
02 ammo.png,AMIG-0064,MIG-0064,EARTH BROWN,,MODEL COLOR:70.303; MODEL AIR:71.037,#703e28,0.9837365180695232
02 ammo.png,AMIG-0065,MIG-0065,FOREST GREEN,,HOBBY COLOR:FS34102RLM 62; MR.COLOR:C303; TAMIYA:XF58; MODEL COLOR:70.348,#ecdeae,0.9356953779100797
02 ammo.png,AMIG-0066,MIG-0066,FADED SINAI GREY,,MODEL AIR:71.142,#e8623a,0.8278991200893875
02 ammo.png,AMIG-0067,MIG-0067,LIGHT SAND GREY,,,#c3c2c2,0.9974240365736942
02 ammo.png,AMIG-0068,MIG-0068,IDF GREEN,,,#3c4732,0.9922431025664218
02 ammo.png,AMIG-0069,MIG-0069,BLUE GREEN,,HOBBY COLOR:H36 /H5g; MR.COLOR:C15; TAMIYA:XF11,#bbb9b8,0.9262027553657098
02 ammo.png,AMIG-0070,MIG-0070,MEDIUM BROWN,,HOBBY COLOR:BS 450; MODEL COLOR:70.312; MODEL AIR:71.035,#848279,0.8615730033744174
02 ammo.png,AMIG-0071,MIG-0071,KHAKI,,HOBBY COLOR:H404; TAMIYA:XF49; MODEL COLOR:70.339; MODEL AIR:71.136,#c8c7c6,0.97767656569203
02 ammo.png,AMIG-0072,MIG-0072,DUST,,TAMIYA:XF55; MODEL COLOR:70.315,#f5f3ee,0.9995478281374524
02 ammo.png,AMIG-0073,MIG-0073,EARTH,,HOBBY COLOR:H457; TAMIYA:XF52; MODEL COLOR:70.874; MODEL AIR:71.024,#bfbebd,0.8492684078181832
02 ammo.png,AMIG-0074,MIG-0074,GREEN MOSS,,MODEL COLOR:70.328; MODEL AIR:71.010,#9f9f89,0.9338919846243201
02 ammo.png,AMIG-0075,MIG-0075,STONE GREY,,TAMIYA:XF80,#b5a03a,0.9932639853106073
02 ammo.png,AMIG-0076,MIG-0076,BROWN SOIL,,HOBBY COLOR:H456,#868585,0.8541788854679364
02 ammo.png,AMIG-0077,MIG-0077,DULL GREEN,,MODEL AIR:71.267,#374d44,0.9285093489893438
02 ammo.png,AMIG-0078,MIG-0078,OCHRE EARTH,,MODEL COLOR:70.927,#adaeae,0.9613027556858031
02 ammo.png,AMIG-0079,MIG-0079,CLAY BROWN,,HOBBY COLOR:H37; MR.COLOR:C43; MODEL AIR:71.034,#5a3722,0.7882887497994469
02 ammo.png,AMIG-0080,MIG-0080,BRIGHT GREEN AMT-4,,MODEL AIR:71.301,#bbbcbd,0.861669516463427
02 ammo.png,AMIG-0081,MIG-0081,US OLIVE DRAB VIETNAM ERA,,HOBBY COLOR:H304 /H405; MR.COLOR:C304; TAMIYA:XF73; MODEL AIR:71.289,#b7b6b5,0.8028652609619911
02 ammo.png,AMIG-0082,MIG-0082,APC INTERIOR LIGHT GREEN,,MODEL COLOR:70.331,#aeaeaf,0.9571110150340097
02 ammo.png,AMIG-0083,MIG-0083,ZASHCHITNIY ZELENO (RUSSIAN POSTWAR GREEN),,HOBBY COLOR:XB 518; MR.COLOR:C320; MODEL COLOR:70.326; MODEL AIR:71.285,#c5c3c2,0.8958494608123064
02 ammo.png,AMIG-0084,MIG-0084,NATO GREEN,,HOBBY COLOR:H80; MR.COLOR:C54; TAMIYA:XF67; MODEL AIR:71.093,#b09d3c,0.8327220718523675
02 ammo.png,AMIG-0085,MIG-0085,NATO BROWN,,HOBBY COLOR:FS 30051RAL 8027; TAMIYA:XF68; MODEL COLOR:70.871; MODEL AIR:71.249,#6f6360,0.8702370321461032
02 ammo.png,AMIG-0086,MIG-0086,BLUE,,HOBBY COLOR:RAL 5019; MR.COLOR:C323; MODEL COLOR:70.844; MODEL AIR:71.089,#768994,0.8615796211153134
02 ammo.png,AMIG-0087,MIG-0087,GELBOLIV,,HOBBY COLOR:RAL 6014; MODEL COLOR:70.877; MODEL AIR:71.012,#c0bfbf,0.99059904339648
02 ammo.png,AMIG-0088,MIG-0088,KHAKI BROWN,,MODEL COLOR:70.860; MODEL AIR:71.077,#b19e3b,0.883840711691383
02 ammo.png,AMIG-0089,MIG-0089,MATT VARNISH,,HOBBY COLOR:H20; MR.COLOR:C182; MODEL COLOR:70.520,#edecec,0.9365932900930533
02 ammo.png,AMIG-0090,MIG-0090,SATIN VARNISH,,MODEL COLOR:70.522,#b29e3b,0.8767596569238972
02 ammo.png,AMIG-0091,MIG-0091,GLOSSY VARNISH,,HOBBY COLOR:H30; MR.COLOR:C46; MODEL COLOR:70.510,#b8b7b6,0.9742067443344173
02 ammo.png,AMIG-0092,MIG-0092,CRYSTAL GREEN,,HOBBY COLOR:H94; MR.COLOR:C138,#b29f3b,0.6984088858454973
02 ammo.png,AMIG-0093,MIG-0093,CRYSTAL RED,,HOBBY COLOR:H90; MR.COLOR:C47; MODEL COLOR:70.934,#c7c6c5,0.9205328346016644
02 ammo.png,AMIG-0094,MIG-0094,CRYSTAL GLASS,,,#b29e3b,0.9727945589774374
02 ammo.png,AMIG-0095,MIG-0095,CRYSTAL SMOKE,,HOBBY COLOR:H95; MR.COLOR:C101,#c6c5c4,0.8906064053655613
02 ammo.png,AMIG-0096,MIG-0096,CRYSTAL GREEN PERISCOPE  (AND TAIL LIGHT ON),,MODEL COLOR:70.936,#728776,0.7589436776439763
03 ammo.png,,,,,HOBBY COLOR:RALZRLM/FS,#40657a,0.4677690122221647
03 ammo.png,A.MIG-0097,MIG-0097,CRYSTAL ORANGE,,HOBBY COLOR:H92; MR.COLOR:C49; MODEL COLOR:70.935,#e37d2b,0.7497995829692808
03 ammo.png,A.MIG-0098,MIG-0098,CRYSTAL LIGHT BLUE,,HOBBY COLOR:H93; MR.COLOR:C50,#eabf2d,0.8297718755438612
