image,raw_reference,reference,name,equivalents,hex,confidence
03.png,Semi Gloss Extra Dark Sea Gray BS381/C640,Semi Gloss Extra Dark Sea Gray BS381/C640,H333 123 351,,#656565,0.9097878345893817
03.png,Semi Gloss Barley Gray BS4800/18B21,Semi Gloss Barley Gray BS4800/18B21,H334 167,,#595959,0.8536179339053753
03.png,Semi Gloss Medium Sea Gray BS381/C637,Semi Gloss Medium Sea Gray BS381/C637,H335 123,,#656565,0.7994186311090801
03.png,Semi Gloss Hemp BS4800/10B21,Semi Gloss Hemp BS4800/10B21,H336 168,,#4b4b4b,0.9655285904354579
03.png,Semi Gloss Grayish Blue FS-35237,Semi Gloss Grayish Blue FS-35237,H337 145 79 1721,,#a8a8a8,0.8574017431311424
03.png,Semi Gloss Light Grey FS-36495,Semi Gloss Light Grey FS-36495,H338 147,,#b0b0b0,0.949716625432322
03.png,Gloss Engine Gray FS-16081,Gloss Engine Gray FS-16081,H339 123 1592,,#a2a2a2,0.8395176966381962
03.png,Semi Gloss Field Green FS-34097,Semi Gloss Field Green FS-34097,H340 362 1712,,#a1a1a1,0.8896450824534378
03.png,FFlat Mud,FFlat Mud,H341,,#a1a1a1,0.9171458584187677
03.png,Gloss Oil Black,Gloss Oil Black,H342,,#4a4a4a,0.9986927289207587
03.png,Flat Soot,Flat Soot,H343 33 1785,,#4a4a4a,0.818254814037278
03.png,Flat Rust,Flat Rust,H344 113 83,,#939393,0.9752376960903005
03.png,Flat Rough,Flat Rough,Gray H345,,#6e6e6e,0.9340247927760271
03.png,FFlat Rough Sand,FFlat Rough Sand,H346 93,,#6d6d6d,0.7422060897187783
